hub_family,spoke_airport,operator_class,flights_total,meets_min_flights,hotspot_robustness_score,hotspot_score_base,hotspot_score_weather_emphasis,hotspot_score_controllable_cascade_emphasis,hotspot_score_economic_emphasis,norm_cancel,norm_severe_delay,norm_controllable,norm_cascade,norm_weather_sensitivity,norm_economic_burden
ORD,BOI,AA_mainline,174,True,0.0,0.4513363551401869,0.27654205607476634,0.5251401869158878,0.5230841121495327,0.02102803738317757,0.7691588785046729,0.38691588785046727,0.8850467289719626,0.014485981308411215,0.6308411214953271
ORD,BOI,Envoy_operated,238,True,0.0,0.4300704205607476,0.5151869158878505,0.4372429906542056,0.32901869158878505,0.02102803738317757,0.8420560747663551,0.02149532710280374,0.874766355140187,0.6429906542056075,0.17757009345794392
ORD,BOI,SkyWest_unresolved,2045,True,0.0,0.27310757009345793,0.2214018691588785,0.35317757009345796,0.2146728971962617,0.09252336448598131,0.3280373831775701,0.7850467289719626,0.1616822429906542,0.14392523364485982,0.12710280373831775
ORD,BOS,AA_mainline,6921,True,0.0,0.5993410280373831,0.5771028037383177,0.6251401869158878,0.5711214953271029,0.3355140186915888,0.8588785046728972,0.44205607476635517,0.8859813084112149,0.5439252336448598,0.5289719626168224
ORD,BOS,Envoy_operated,1882,True,0.0,0.22714822429906542,0.19121495327102805,0.2330841121495327,0.20056074766355142,0.31962616822429907,0.2607476635514019,0.1766355140186916,0.3074766355140187,0.13738317757009347,0.16074766355140188
ORD,BOS,Republic_unresolved,3197,True,0.0,0.3349579439252336,0.26822429906542056,0.34953271028037386,0.2940186915887851,0.497196261682243,0.36822429906542054,0.41682242990654206,0.32616822429906545,0.16822429906542055,0.23271028037383176
ORD,BTV,Envoy_operated,518,True,0.0,0.31906691588785047,0.4697196261682243,0.2998130841121495,0.2504672897196262,0.21822429906542057,0.3102803738317757,0.2252336448598131,0.3168224299065421,0.6957943925233645,0.14766355140186915
ORD,BTV,Republic_unresolved,639,True,0.0,0.047595186915887856,0.04556074766355141,0.05359813084112149,0.033037383177570094,0.09065420560747664,0.01588785046728972,0.024299065420560748,0.10093457943925234,0.04252336448598131,0.011214953271028037
ORD,BTV,SkyWest_unresolved,593,True,0.25,0.87564238317757,0.9108878504672899,0.8389252336448598,0.9178037383177571,0.7439252336448599,0.9953271028037384,0.9981308411214953,0.5700934579439252,0.9640186915887851,0.9813084112149533
ORD,BUF,AA_mainline,1176,True,0.0,0.7208606542056073,0.7823364485981309,0.7262616822429907,0.7670093457943925,0.25794392523364484,0.8859813084112149,0.5411214953271029,0.9280373831775701,0.874766355140187,0.8364485981308412
ORD,BUF,Envoy_operated,2453,True,0.0,0.2008968691588785,0.21845794392523363,0.19752336448598132,0.16313084112149534,0.2827102803738318,0.18598130841121496,0.13551401869158877,0.24953271028037383,0.24485981308411214,0.10654205607476636
ORD,BUF,Republic_unresolved,889,True,0.0,0.19092602803738318,0.18537383177570094,0.18761682242990654,0.16350467289719628,0.32710280373831774,0.15327102803738318,0.16542056074766356,0.2,0.17710280373831774,0.12242990654205607
ORD,BUF,SkyWest_unresolved,896,True,0.0,0.7065275700934579,0.7804672897196262,0.6086915887850468,0.7614018691588785,0.9616822429906542,0.616822429906542,0.8485981308411215,0.07570093457943926,0.891588785046729,0.8439252336448598
ORD,BWI,AA_mainline,815,True,0.0,0.5494868224299065,0.5292523364485981,0.6161682242990656,0.524018691588785,0.056074766355140186,0.822429906542056,0.5495327102803739,0.883177570093458,0.49906542056074765,0.48598130841121495
ORD,BWI,Envoy_operated,2487,True,0.0,0.38434476635514014,0.46233644859813083,0.3316822429906542,0.3419626168224299,0.6822429906542056,0.25981308411214954,0.12990654205607477,0.37570093457943926,0.5794392523364486,0.27850467289719627
ORD,BWI,Republic_unresolved,253,True,0.0,0.30784971962616825,0.37233644859813086,0.2846728971962617,0.2852336448598131,0.36728971962616824,0.2588785046728972,0.24018691588785046,0.25981308411214954,0.4691588785046729,0.2514018691588785
ORD,BWI,SkyWest_unresolved,117,True,0.0,0.8294493457943926,0.8474766355140189,0.859252336448598,0.8500934579439252,0.41495327102803736,0.9962616822429906,0.9635514018691589,0.8448598130841122,0.874766355140187,0.8813084112149533
ORD,BZN,AA_mainline,1186,True,0.0,0.45468593457943923,0.35387850467289717,0.5107009345794393,0.5262149532710281,0.02102803738317757,0.680373831775701,0.497196261682243,0.6925233644859813,0.202803738317757,0.6336448598130842
ORD,BZN,Envoy_operated,162,True,0.0,0.13343789719626165,0.29313084112149534,0.12341121495327102,0.0852803738317757,0.02102803738317757,0.016822429906542057,0.12710280373831775,0.08971962616822429,0.5327102803738317,0.013084112149532711
ORD,BZN,SkyWest_unresolved,375,True,0.0,0.2907902336448598,0.3404205607476635,0.37537383177570094,0.1886448598130841,0.02102803738317757,0.26822429906542056,0.7214953271028037,0.28317757009345795,0.41495327102803736,0.03551401869158879
ORD,CAE,SkyWest_unresolved,2174,True,0.0,0.3062917757009345,0.24467289719626167,0.34467289719626165,0.2786915887850467,0.31401869158878504,0.32897196261682243,0.6719626168224299,0.13271028037383178,0.15233644859813084,0.23738317757009345
ORD,CAK,PSA_operated,340,True,1.0,0.9688853271028037,0.9763551401869158,0.9554205607476635,0.9785981308411216,0.983177570093458,0.9766355140186916,0.902803738317757,0.9682242990654205,0.9878504672897196,0.9934579439252337
ORD,CAK,SkyWest_unresolved,4793,True,0.0,0.7526427102803737,0.724766355140187,0.7763551401869159,0.7494392523364486,0.5457943925233645,0.9168224299065421,0.9579439252336449,0.6663551401869159,0.6831775700934579,0.7448598130841122
