module,operator_class,hub_family,weather_bucket,period_flag,flights_total,cancelled_count,operated_count,severe_delay_count,controllable_cancel_count,controllable_severe_delay_count,late_arriving_severe_delay_count,carrier_delay_minutes_sum,late_aircraft_delay_minutes_sum,cancellation_rate,severe_delay_rate,controllable_cancel_rate,controllable_severe_delay_rate,late_arriving_severe_delay_rate,weather_fragility_rate,baseline_label,excess_cancelled_vs_baseline,excess_controllable_delay_minutes,excess_cascade_delay_minutes,economic_burden_proxy_usd,economic_burden_proxy_usd_per_1000_flights,combined_fragility_score
hub_spoke,SkyWest_unresolved,DFW,marginal,baseline,4567,285,4226,574,0,241,63,51704.0,9553.0,0.0624,0.1358,0.0,0.057,0.0149,0.1881,aa_system_average,120.5,19936.2,-40043.6,-2007789.68,-439629.89,0.0675
hub_spoke,SkyWest_unresolved,DFW,marginal,recent,4842,437,4345,741,0,313,83,58839.0,12962.0,0.0903,0.1705,0.0,0.072,0.0191,0.2433,aa_system_average,138.15,25117.8,-38605.7,-1330642.98,-274812.68,0.088
hub_spoke,SkyWest_unresolved,DFW,unknown,baseline,1439,14,1421,108,0,73,20,15446.0,3369.0,0.0097,0.076,0.0,0.0514,0.0141,0.0848,aa_system_average,-30.81,6182.7,-9316.8,-326937.26,-227197.54,0.0378
hub_spoke,SkyWest_unresolved,DFW,unknown,recent,1690,84,1596,146,0,85,17,15862.0,2356.0,0.0497,0.0915,0.0,0.0533,0.0107,0.1361,aa_system_average,7.26,4058.9,-13649.6,-971817.9,-575040.17,0.0513
hub_spoke,SkyWest_unresolved,ORD,adverse,baseline,6285,671,5499,1338,0,409,399,80026.0,69577.0,0.1068,0.2433,0.0,0.0744,0.0726,0.3196,aa_system_average,404.58,32454.5,-17979.4,1583943.94,252019.72,0.1243
hub_spoke,SkyWest_unresolved,ORD,adverse,recent,5784,850,4795,1512,10,426,401,97363.0,78097.0,0.147,0.3153,0.0017,0.0888,0.0836,0.4084,aa_system_average,243.48,59351.9,4209.3,6522880.18,1127745.54,0.1587
hub_spoke,SkyWest_unresolved,ORD,benign,baseline,82916,791,81968,6771,5,3545,2868,640997.0,441986.0,0.0095,0.0826,0.0001,0.0432,0.035,0.0912,aa_system_average,127.15,196326.5,-243725.8,-4777223.83,-57615.22,0.0426
hub_spoke,SkyWest_unresolved,ORD,benign,recent,104936,1446,103265,11410,61,5857,3895,1134104.0,599728.0,0.0138,0.1105,0.0006,0.0567,0.0377,0.1225,aa_system_average,107.31,619702.0,-331959.9,29248558.33,278727.59,0.0547
hub_spoke,SkyWest_unresolved,ORD,marginal,baseline,15254,476,14709,2004,1,795,756,151736.0,117064.0,0.0312,0.1362,0.0001,0.054,0.0514,0.1626,aa_system_average,155.68,61517.1,-26758.3,3573427.48,234261.67,0.0682
hub_spoke,SkyWest_unresolved,ORD,marginal,recent,18495,809,17582,3909,9,1398,1269,281441.0,217206.0,0.0437,0.2223,0.0005,0.0795,0.0722,0.2551,aa_system_average,179.04,171582.3,1076.3,17582819.29,950679.6,0.1044
